2026/09/03 23:25:14.786, 50.09 W, 600.00 W, 180 MHz, 7001 MHz, 36, 0 %
2026/09/03 23:25:15.794, 34.00 W, 600.00 W, 180 MHz, 810 MHz, 35, 0 %
2026/09/03 23:25:16.795, 42.39 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:17.796, 89.04 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:18.796, 88.99 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:19.797, 88.55 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:20.797, 88.39 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:21.798, 88.41 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:22.798, 88.46 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:23.799, 88.34 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:24.800, 88.52 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:25.800, 88.78 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:27.620, 90.66 W, 600.00 W, 2610 MHz, 15368 MHz, 37, 0 %
2026/09/03 23:25:28.620, 89.00 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:29.621, 88.44 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:30.621, 88.48 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:31.621, 88.48 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:32.622, 88.90 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:33.622, 88.30 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 0 %
2026/09/03 23:25:34.623, 90.15 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 16 %
2026/09/03 23:25:35.623, 92.00 W, 600.00 W, 2617 MHz, 15368 MHz, 38, 15 %
2026/09/03 23:25:36.624, 91.74 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 24 %
2026/09/03 23:25:37.624, 91.61 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 16 %
2026/09/03 23:25:38.625, 92.07 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 14 %
2026/09/03 23:25:39.626, 92.00 W, 600.00 W, 2625 MHz, 15368 MHz, 38, 19 %
2026/09/03 23:25:40.626, 91.66 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 15 %
2026/09/03 23:25:41.627, 92.01 W, 600.00 W, 2610 MHz, 15368 MHz, 38, 20 %
2026/09/03 23:25:42.628, 95.21 W, 600.00 W, 2625 MHz, 15368 MHz, 39, 94 %
2026/09/03 23:25:43.631, 112.83 W, 600.00 W, 2850 MHz, 15368 MHz, 39, 11 %
2026/09/03 23:25:44.632, 130.70 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 8 %
2026/09/03 23:25:45.632, 102.69 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 0 %
2026/09/03 23:25:46.633, 89.05 W, 600.00 W, 2610 MHz, 15368 MHz, 39, 7 %
2026/09/03 23:25:47.633, 154.46 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 3 %
2026/09/03 23:25:48.634, 114.92 W, 600.00 W, 2850 MHz, 15368 MHz, 40, 5 %
2026/09/03 23:25:49.635, 115.11 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 23 %
2026/09/03 23:25:50.635, 157.73 W, 600.00 W, 2775 MHz, 15368 MHz, 41, 26 %
2026/09/03 23:25:51.636, 158.91 W, 600.00 W, 2767 MHz, 15368 MHz, 42, 23 %
2026/09/03 23:25:52.636, 157.75 W, 600.00 W, 2767 MHz, 15368 MHz, 41, 23 %
2026/09/03 23:25:53.637, 158.07 W, 600.00 W, 2775 MHz, 15368 MHz, 41, 23 %
2026/09/03 23:25:54.638, 112.33 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 0 %
2026/09/03 23:25:55.638, 90.38 W, 600.00 W, 2610 MHz, 15368 MHz, 40, 9 %
2026/09/03 23:25:56.639, 446.70 W, 600.00 W, 2707 MHz, 15368 MHz, 53, 100 %
