2026/09/04 10:20:29.202, 304.55 W, 600.00 W, 2775 MHz, 15368 MHz, 53, 91 %, 79908 MiB
2026/09/04 10:20:30.203, 308.33 W, 600.00 W, 2767 MHz, 15368 MHz, 50, 99 %, 79930 MiB
2026/09/04 10:20:31.203, 468.18 W, 600.00 W, 2707 MHz, 15368 MHz, 58, 98 %, 79932 MiB
2026/09/04 10:20:32.204, 376.69 W, 600.00 W, 2767 MHz, 15368 MHz, 53, 93 %, 79932 MiB
2026/09/04 10:20:33.204, 317.97 W, 600.00 W, 2775 MHz, 15368 MHz, 54, 99 %, 79932 MiB
2026/09/04 10:20:34.205, 324.33 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 95 %, 79934 MiB
2026/09/04 10:20:35.208, 417.11 W, 600.00 W, 2707 MHz, 15368 MHz, 59, 98 %, 79942 MiB
2026/09/04 10:20:36.208, 420.47 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 88 %, 79994 MiB
2026/09/04 10:20:37.209, 315.28 W, 600.00 W, 2775 MHz, 15368 MHz, 57, 88 %, 80044 MiB
2026/09/04 10:20:38.209, 316.59 W, 600.00 W, 2767 MHz, 15368 MHz, 55, 90 %, 80094 MiB
2026/09/04 10:20:39.210, 252.80 W, 600.00 W, 2835 MHz, 15368 MHz, 50, 18 %, 80110 MiB
2026/09/04 10:20:40.211, 156.90 W, 600.00 W, 2835 MHz, 15368 MHz, 49, 18 %, 80110 MiB
2026/09/04 10:20:41.212, 155.05 W, 600.00 W, 2752 MHz, 15368 MHz, 50, 23 %, 80110 MiB
2026/09/04 10:20:42.213, 150.72 W, 600.00 W, 2760 MHz, 15368 MHz, 49, 18 %, 80110 MiB
2026/09/04 10:20:43.213, 148.38 W, 600.00 W, 2745 MHz, 15368 MHz, 49, 21 %, 80122 MiB
2026/09/04 10:20:44.214, 150.37 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 18 %, 80122 MiB
2026/09/04 10:20:45.215, 151.39 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 22 %, 80122 MiB
2026/09/04 10:20:46.215, 150.77 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 25 %, 80122 MiB
2026/09/04 10:20:47.216, 151.64 W, 600.00 W, 2760 MHz, 15368 MHz, 49, 23 %, 80122 MiB
2026/09/04 10:20:48.216, 150.33 W, 600.00 W, 2752 MHz, 15368 MHz, 49, 22 %, 80122 MiB
2026/09/04 10:20:49.217, 112.03 W, 600.00 W, 2610 MHz, 15368 MHz, 48, 6 %, 80122 MiB
2026/09/04 10:20:50.217, 184.99 W, 600.00 W, 2662 MHz, 15368 MHz, 57, 98 %, 80122 MiB
2026/09/04 10:20:51.219, 478.00 W, 600.00 W, 2715 MHz, 15368 MHz, 56, 98 %, 80122 MiB
2026/09/04 10:20:52.219, 315.55 W, 600.00 W, 2775 MHz, 15368 MHz, 55, 98 %, 80122 MiB
2026/09/04 10:20:53.220, 313.51 W, 600.00 W, 2775 MHz, 15368 MHz, 53, 98 %, 80122 MiB
2026/09/04 10:20:54.220, 375.68 W, 600.00 W, 2760 MHz, 15368 MHz, 61, 99 %, 80122 MiB
2026/09/04 10:20:55.221, 466.39 W, 600.00 W, 2745 MHz, 15368 MHz, 57, 95 %, 80122 MiB
2026/09/04 10:20:56.222, 315.19 W, 600.00 W, 2760 MHz, 15368 MHz, 54, 95 %, 80122 MiB
2026/09/04 10:20:57.222, 315.49 W, 600.00 W, 2775 MHz, 15368 MHz, 58, 93 %, 80122 MiB
2026/09/04 10:20:58.223, 373.79 W, 600.00 W, 2760 MHz, 15368 MHz, 62, 98 %, 80122 MiB
2026/09/04 10:20:59.223, 489.22 W, 600.00 W, 2715 MHz, 15368 MHz, 61, 98 %, 80122 MiB
2026/09/04 10:21:00.224, 332.33 W, 600.00 W, 2767 MHz, 15368 MHz, 56, 98 %, 80122 MiB
2026/09/04 10:21:01.225, 329.70 W, 600.00 W, 2767 MHz, 15368 MHz, 56, 99 %, 80122 MiB
2026/09/04 10:21:02.225, 366.29 W, 600.00 W, 2790 MHz, 15368 MHz, 63, 99 %, 80122 MiB
2026/09/04 10:21:03.226, 510.41 W, 600.00 W, 2677 MHz, 15368 MHz, 63, 98 %, 80122 MiB
2026/09/04 10:21:04.227, 329.54 W, 600.00 W, 2760 MHz, 15368 MHz, 58, 99 %, 80122 MiB
2026/09/04 10:21:05.228, 336.87 W, 600.00 W, 2760 MHz, 15368 MHz, 61, 99 %, 80122 MiB
2026/09/04 10:21:06.229, 303.25 W, 600.00 W, 2775 MHz, 15368 MHz, 56, 23 %, 80122 MiB
2026/09/04 10:21:07.229, 161.67 W, 600.00 W, 2827 MHz, 15368 MHz, 54, 18 %, 80122 MiB
2026/09/04 10:21:08.230, 159.91 W, 600.00 W, 2790 MHz, 15368 MHz, 54, 23 %, 80122 MiB
2026/09/04 10:21:09.231, 153.55 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 23 %, 80122 MiB
2026/09/04 10:21:10.231, 153.84 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 19 %, 80122 MiB
2026/09/04 10:21:11.232, 153.67 W, 600.00 W, 2760 MHz, 15368 MHz, 53, 18 %, 80122 MiB
2026/09/04 10:21:12.233, 154.79 W, 600.00 W, 2752 MHz, 15368 MHz, 54, 23 %, 80122 MiB
2026/09/04 10:21:13.233, 153.72 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 23 %, 80122 MiB
2026/09/04 10:21:14.234, 154.11 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 20 %, 80122 MiB
2026/09/04 10:21:15.235, 154.17 W, 600.00 W, 2752 MHz, 15368 MHz, 53, 23 %, 80122 MiB
2026/09/04 10:21:16.235, 128.65 W, 600.00 W, 2610 MHz, 15368 MHz, 52, 6 %, 80122 MiB
2026/09/04 10:21:17.236, 95.85 W, 600.00 W, 2610 MHz, 15368 MHz, 51, 5 %, 80122 MiB
2026/09/04 10:21:18.236, 466.22 W, 600.00 W, 2692 MHz, 15368 MHz, 64, 98 %, 80122 MiB
2026/09/04 10:21:19.237, 341.88 W, 600.00 W, 2767 MHz, 15368 MHz, 59, 98 %, 80122 MiB
2026/09/04 10:21:20.238, 323.69 W, 600.00 W, 2767 MHz, 15368 MHz, 59, 98 %, 80122 MiB
2026/09/04 10:21:21.238, 326.88 W, 600.00 W, 2767 MHz, 15368 MHz, 62, 99 %, 80122 MiB
2026/09/04 10:21:22.239, 524.19 W, 600.00 W, 2677 MHz, 15368 MHz, 63, 98 %, 80122 MiB
2026/09/04 10:21:23.239, 327.07 W, 600.00 W, 2767 MHz, 15368 MHz, 59, 98 %, 80122 MiB
2026/09/04 10:21:24.240, 329.09 W, 600.00 W, 2767 MHz, 15368 MHz, 63, 99 %, 80122 MiB
2026/09/04 10:21:25.240, 343.35 W, 600.00 W, 2790 MHz, 15368 MHz, 63, 99 %, 80122 MiB
2026/09/04 10:21:26.241, 524.19 W, 600.00 W, 2685 MHz, 15368 MHz, 62, 98 %, 80122 MiB
2026/09/04 10:21:27.241, 349.23 W, 600.00 W, 2752 MHz, 15368 MHz, 64, 98 %, 80122 MiB
2026/09/04 10:21:28.242, 338.93 W, 600.00 W, 2767 MHz, 15368 MHz, 63, 99 %, 80122 MiB
2026/09/04 10:21:29.243, 410.56 W, 600.00 W, 2677 MHz, 15368 MHz, 67, 98 %, 80122 MiB
2026/09/04 10:21:30.245, 457.07 W, 600.00 W, 2752 MHz, 15368 MHz, 63, 98 %, 80122 MiB
2026/09/04 10:21:31.246, 343.87 W, 600.00 W, 2760 MHz, 15368 MHz, 64, 99 %, 80122 MiB
2026/09/04 10:21:32.246, 338.03 W, 600.00 W, 2760 MHz, 15368 MHz, 63, 98 %, 80122 MiB
2026/09/04 10:21:33.247, 364.86 W, 600.00 W, 2790 MHz, 15368 MHz, 66, 98 %, 80122 MiB
2026/09/04 10:21:34.248, 516.46 W, 600.00 W, 2670 MHz, 15368 MHz, 66, 98 %, 80122 MiB
2026/09/04 10:21:35.248, 336.67 W, 600.00 W, 2737 MHz, 15368 MHz, 61, 99 %, 80122 MiB
