2026/09/04 11:11:42.558, 540.73 W, 600.00 W, 2670 MHz, 15368 MHz, 70, 99 %, 92920 MiB
2026/09/04 11:11:43.559, 365.42 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92924 MiB
2026/09/04 11:11:44.560, 336.48 W, 600.00 W, 2752 MHz, 15368 MHz, 64, 94 %, 92924 MiB
2026/09/04 11:11:45.560, 330.69 W, 600.00 W, 2797 MHz, 15368 MHz, 65, 99 %, 92926 MiB
2026/09/04 11:11:46.561, 539.34 W, 600.00 W, 2662 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:11:47.562, 413.75 W, 600.00 W, 2737 MHz, 15368 MHz, 67, 99 %, 92926 MiB
2026/09/04 11:11:48.562, 350.05 W, 600.00 W, 2745 MHz, 15368 MHz, 67, 99 %, 92926 MiB
2026/09/04 11:11:49.563, 325.15 W, 600.00 W, 2782 MHz, 15368 MHz, 67, 53 %, 92926 MiB
2026/09/04 11:11:50.564, 536.97 W, 600.00 W, 2670 MHz, 15368 MHz, 72, 98 %, 92926 MiB
2026/09/04 11:11:51.565, 452.39 W, 600.00 W, 2737 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:52.566, 354.18 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:53.566, 352.39 W, 600.00 W, 2745 MHz, 15368 MHz, 64, 35 %, 92926 MiB
2026/09/04 11:11:54.567, 447.40 W, 600.00 W, 2670 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:11:55.567, 502.35 W, 600.00 W, 2722 MHz, 15368 MHz, 72, 98 %, 92926 MiB
2026/09/04 11:11:56.568, 352.70 W, 600.00 W, 2737 MHz, 15368 MHz, 70, 99 %, 92926 MiB
2026/09/04 11:11:57.569, 355.20 W, 600.00 W, 2745 MHz, 15368 MHz, 66, 99 %, 92926 MiB
2026/09/04 11:11:58.569, 380.09 W, 600.00 W, 2700 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:11:59.570, 547.98 W, 600.00 W, 2662 MHz, 15368 MHz, 74, 98 %, 92926 MiB
2026/09/04 11:12:00.570, 403.97 W, 600.00 W, 2745 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:12:01.571, 354.02 W, 600.00 W, 2737 MHz, 15368 MHz, 68, 99 %, 92926 MiB
2026/09/04 11:12:02.572, 346.00 W, 600.00 W, 2745 MHz, 15368 MHz, 65, 0 %, 92926 MiB
2026/09/04 11:12:03.572, 474.22 W, 600.00 W, 2677 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:04.573, 513.79 W, 600.00 W, 2692 MHz, 15368 MHz, 68, 98 %, 92926 MiB
2026/09/04 11:12:05.573, 363.45 W, 600.00 W, 2730 MHz, 15368 MHz, 70, 98 %, 92926 MiB
2026/09/04 11:12:06.574, 364.52 W, 600.00 W, 2745 MHz, 15368 MHz, 69, 99 %, 92926 MiB
2026/09/04 11:12:07.576, 337.20 W, 600.00 W, 2782 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:12:08.577, 540.85 W, 600.00 W, 2662 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:09.577, 468.11 W, 600.00 W, 2730 MHz, 15368 MHz, 69, 98 %, 92926 MiB
2026/09/04 11:12:10.578, 367.61 W, 600.00 W, 2730 MHz, 15368 MHz, 70, 99 %, 92926 MiB
2026/09/04 11:12:11.579, 371.28 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:12.579, 348.50 W, 600.00 W, 2700 MHz, 15368 MHz, 73, 98 %, 92926 MiB
2026/09/04 11:12:13.580, 548.06 W, 600.00 W, 2662 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:12:14.580, 453.53 W, 600.00 W, 2722 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:15.581, 368.32 W, 600.00 W, 2730 MHz, 15368 MHz, 69, 98 %, 92926 MiB
2026/09/04 11:12:16.582, 375.71 W, 600.00 W, 2737 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:12:17.582, 356.35 W, 600.00 W, 2685 MHz, 15368 MHz, 75, 98 %, 92926 MiB
2026/09/04 11:12:18.583, 542.62 W, 600.00 W, 2670 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:12:19.584, 451.44 W, 600.00 W, 2722 MHz, 15368 MHz, 73, 98 %, 92926 MiB
2026/09/04 11:12:20.584, 375.46 W, 600.00 W, 2722 MHz, 15368 MHz, 70, 99 %, 92926 MiB
2026/09/04 11:12:21.585, 370.84 W, 600.00 W, 2730 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:22.585, 327.49 W, 600.00 W, 2752 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:23.586, 541.92 W, 600.00 W, 2655 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:12:24.587, 491.15 W, 600.00 W, 2730 MHz, 15368 MHz, 72, 100 %, 92926 MiB
2026/09/04 11:12:25.587, 368.91 W, 600.00 W, 2722 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:12:26.588, 388.09 W, 600.00 W, 2745 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:27.589, 304.93 W, 600.00 W, 2820 MHz, 15368 MHz, 71, 18 %, 92926 MiB
2026/09/04 11:12:28.589, 493.75 W, 600.00 W, 2655 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:12:29.590, 545.93 W, 600.00 W, 2655 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:30.591, 387.94 W, 600.00 W, 2722 MHz, 15368 MHz, 74, 98 %, 92926 MiB
2026/09/04 11:12:31.591, 374.57 W, 600.00 W, 2722 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:32.592, 380.19 W, 600.00 W, 2722 MHz, 15368 MHz, 71, 59 %, 92926 MiB
2026/09/04 11:12:33.592, 370.59 W, 600.00 W, 2677 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:12:34.593, 541.49 W, 600.00 W, 2647 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:12:35.594, 458.28 W, 600.00 W, 2715 MHz, 15368 MHz, 72, 99 %, 92926 MiB
2026/09/04 11:12:36.594, 393.43 W, 600.00 W, 2737 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:12:37.595, 385.35 W, 600.00 W, 2707 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:38.595, 297.77 W, 600.00 W, 2820 MHz, 15368 MHz, 69, 0 %, 92926 MiB
2026/09/04 11:12:39.596, 506.25 W, 600.00 W, 2662 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:12:40.597, 542.27 W, 600.00 W, 2662 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:12:41.597, 412.78 W, 600.00 W, 2715 MHz, 15368 MHz, 73, 99 %, 92926 MiB
2026/09/04 11:12:42.598, 381.83 W, 600.00 W, 2715 MHz, 15368 MHz, 76, 99 %, 92926 MiB
2026/09/04 11:12:43.598, 357.20 W, 600.00 W, 2722 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:12:44.599, 357.88 W, 600.00 W, 2677 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:12:45.599, 537.99 W, 600.00 W, 2647 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:12:46.600, 470.86 W, 600.00 W, 2707 MHz, 15368 MHz, 77, 99 %, 92926 MiB
2026/09/04 11:12:47.601, 387.64 W, 600.00 W, 2715 MHz, 15368 MHz, 74, 98 %, 92926 MiB
2026/09/04 11:12:48.602, 381.86 W, 600.00 W, 2707 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:12:49.602, 347.26 W, 600.00 W, 2775 MHz, 15368 MHz, 70, 0 %, 92926 MiB
2026/09/04 11:12:50.603, 399.93 W, 600.00 W, 2670 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:12:51.603, 529.77 W, 600.00 W, 2647 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:12:52.604, 470.30 W, 600.00 W, 2707 MHz, 15368 MHz, 74, 99 %, 92926 MiB
2026/09/04 11:12:53.605, 382.14 W, 600.00 W, 2707 MHz, 15368 MHz, 77, 98 %, 92926 MiB
2026/09/04 11:12:54.605, 392.42 W, 600.00 W, 2715 MHz, 15368 MHz, 79, 98 %, 92926 MiB
2026/09/04 11:12:55.606, 365.75 W, 600.00 W, 2715 MHz, 15368 MHz, 71, 0 %, 92926 MiB
2026/09/04 11:12:56.606, 330.95 W, 600.00 W, 2692 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:12:57.607, 532.76 W, 600.00 W, 2677 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:12:58.607, 517.93 W, 600.00 W, 2700 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:12:59.608, 389.78 W, 600.00 W, 2730 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:00.608, 388.44 W, 600.00 W, 2730 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:01.609, 402.32 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 98 %, 92926 MiB
2026/09/04 11:13:02.609, 277.30 W, 600.00 W, 2805 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:03.610, 515.62 W, 600.00 W, 2662 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:04.611, 537.54 W, 600.00 W, 2655 MHz, 15368 MHz, 80, 98 %, 92926 MiB
2026/09/04 11:13:05.612, 438.19 W, 600.00 W, 2730 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:13:06.612, 393.01 W, 600.00 W, 2730 MHz, 15368 MHz, 79, 100 %, 92926 MiB
2026/09/04 11:13:07.613, 403.06 W, 600.00 W, 2737 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:08.613, 348.23 W, 600.00 W, 2797 MHz, 15368 MHz, 71, 0 %, 92926 MiB
2026/09/04 11:13:09.614, 370.65 W, 600.00 W, 2670 MHz, 15368 MHz, 80, 99 %, 92926 MiB
2026/09/04 11:13:10.614, 523.65 W, 600.00 W, 2662 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:11.615, 508.77 W, 600.00 W, 2662 MHz, 15368 MHz, 75, 99 %, 92926 MiB
2026/09/04 11:13:12.616, 392.47 W, 600.00 W, 2707 MHz, 15368 MHz, 75, 100 %, 92926 MiB
2026/09/04 11:13:13.616, 397.32 W, 600.00 W, 2730 MHz, 15368 MHz, 80, 100 %, 92926 MiB
2026/09/04 11:13:14.617, 400.12 W, 600.00 W, 2737 MHz, 15368 MHz, 78, 99 %, 92926 MiB
2026/09/04 11:13:15.618, 250.71 W, 600.00 W, 2820 MHz, 15368 MHz, 71, 0 %, 92926 MiB
2026/09/04 11:13:16.618, 485.16 W, 600.00 W, 2677 MHz, 15368 MHz, 79, 99 %, 92926 MiB
2026/09/04 11:13:17.619, 522.44 W, 600.00 W, 2647 MHz, 15368 MHz, 81, 100 %, 92926 MiB
